start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-27_18:32:41.441469,2.04860782623291,3927,75,20,15,19407.33494965126,19407.33494965126,0.0,13392.948147553581,4749.999950714286,174.13198437259538,7895.047792589211,0.0,24.0,74.66666666666667
2023-07-27_18:32:52.852072,4.574453592300415,3927,75,20,15,19111.252008833173,19110.66175804882,3.088498775905222e-05,12337.237814220607,4900.0,217.23003563970332,2522.88566405833,0.0,48.0,52.0
2023-07-27_18:33:04.208490,4.4803667068481445,3927,75,20,15,19085.837875962312,19085.837875962312,0.0,13009.54658486143,4600.0,299.8057808812855,7972.835379398036,0.0,40.0,60.0
2023-07-27_18:33:13.683131,2.6319141387939453,3927,75,20,20,18944.247559800646,18944.247559800646,0.0,12622.507921459252,4850.0,220.16616698284105,4582.609097972271,0.0,36.0,62.66666666666667
2023-07-27_18:33:28.394565,5.8262152671813965,3927,75,20,20,22545.323885645634,22544.85779606836,2.0673447834961843e-05,16038.826425108158,4400.0,306.99500118652105,8521.297658229807,0.0,48.0,52.0
2023-07-27_18:33:43.550025,6.397643804550171,3927,75,20,20,22447.042518755083,22446.66775436474,1.669549073251979e-05,16225.848121353663,4649.999998725649,181.37322234742345,6229.818807028079,0.0,40.0,60.0
2023-07-27_18:33:58.590128,6.200195074081421,3927,75,20,20,22062.574431779365,22062.574431779365,0.0,15856.09525109147,4450.0,325.5008682631597,5443.141730308331,0.0,52.0,48.0
2023-07-27_18:34:14.565629,7.205613613128662,3927,75,20,20,22724.681463224082,22724.681463224082,0.0,16019.535022123628,4850.000002642649,311.62467774008763,4716.083958429937,0.0,49.333333333333336,50.66666666666667
2023-07-27_18:34:29.821407,6.4744250774383545,3927,75,34,10,23783.482153094916,23783.482153094916,0.0,16351.500226432174,5450.0,326.53416932974955,5467.654398748638,0.0,40.0,60.0
2023-07-27_18:34:40.066063,4.3781657218933105,3927,75,34,10,13891.963178053136,13891.963178053058,0.0,8052.766536981525,4050.000000344827,164.81308621329705,1992.6737050365737,0.0,72.0,28.000000000000004
2023-07-27_18:34:48.005089,2.4572296142578125,3927,75,34,10,14438.479996782202,14438.479994850932,1.3375855096166215e-10,9222.953283532941,4000.0,166.97458186159963,4007.4647480492517,0.0,44.0,56.00000000000001
2023-07-27_18:34:54.546652,1.123931884765625,3927,75,34,10,14965.303268740758,14965.303268740685,0.0,9750.522960201146,3950.0,134.7071820241641,1732.515187653357,0.0,30.666666666666664,69.33333333333334
2023-07-27_18:35:02.394752,2.3220434188842773,3927,75,34,10,14595.373256169603,14595.353612263765,1.3458995185246118e-06,8740.017456183989,4650.0,195.07051552167692,1426.4640228365338,0.0,46.666666666666664,53.333333333333336
2023-07-27_18:35:09.498804,1.6584854125976562,3927,75,34,15,15329.24892719771,15329.24892719771,0.0,9636.944349459936,4150.0,115.04184075574781,3903.103823052421,0.0,26.666666666666668,73.33333333333333
2023-07-27_18:35:20.525381,3.4130260944366455,3927,75,34,15,18690.95289367102,18690.95264738635,1.3176678000903552e-08,12738.758475059327,4550.0,196.81843069763843,4741.64346119838,0.0,38.666666666666664,61.33333333333333
2023-07-27_18:35:31.018888,2.726130962371826,3927,75,34,15,18563.301188783338,18563.301188783338,0.0,12993.714431889814,4099.999994628899,159.44750657493827,9779.191511291316,0.0,32.0,68.0
2023-07-27_18:35:42.567033,3.851620674133301,3927,75,34,15,19170.97508532399,19170.975085323793,1.0247306394620588e-14,12857.250037647105,4550.0,176.06628643709183,3638.9809199909355,0.0,34.66666666666667,65.33333333333333
2023-07-27_18:35:53.947079,3.5167980194091797,3927,75,34,15,19448.00846124301,19447.887230293814,6.2335919607506605e-06,12956.993707589874,5049.999996445578,182.87921426261894,6474.729484455924,0.0,37.333333333333336,62.66666666666667
2023-07-27_18:36:05.907237,4.1788835525512695,3927,75,34,20,19283.019006383875,19283.019006383875,0.0,12552.733351906845,4750.0,135.76459403132048,2688.590554224561,0.0,42.66666666666667,57.333333333333336
